,sensor2,sensor3,sensor4,labels
493,514,491,452,normal
509,512,483,451,normal
514,502,478,461,normal
514,493,475,465,normal
512,486,471,483,normal
507,480,469,495,normal
501,475,465,504,normal
498,472,468,509,normal
496,470,508,505,normal
495,496,513,489,normal
493,501,514,477,normal
493,504,511,468,normal
491,506,509,462,normal
491,509,508,458,normal
491,512,497,455,normal
508,512,487,454,normal
515,502,481,455,normal
515,493,477,454,normal
513,486,473,473,normal
510,480,470,484,normal
505,474,468,496,normal
499,470,465,502,normal
498,468,507,504,normal
495,489,514,488,normal
494,500,513,476,normal
493,504,512,467,normal
492,506,509,461,normal
491,509,508,456,normal
491,512,497,453,normal
507,513,487,452,normal
514,503,481,453,normal
513,494,476,453,normal
510,486,474,479,normal
502,481,470,490,normal
498,475,467,504,normal
496,471,466,509,normal
494,468,501,512,normal
493,494,513,495,normal
492,504,512,482,normal
491,507,511,471,normal
490,508,509,464,normal
490,510,506,459,normal
489,512,492,455,normal
508,513,484,454,normal
514,502,479,454,normal
514,493,475,453,normal
512,486,472,472,normal
508,481,468,490,normal
502,475,466,499,normal
498,472,465,509,normal
496,469,508,506,normal
494,497,512,488,normal
493,505,511,476,normal
492,507,509,467,normal
491,508,507,461,normal
490,509,498,457,normal
493,513,488,454,normal
510,506,480,453,normal
513,498,476,453,normal
513,490,472,465,normal
512,482,469,481,normal
508,478,466,492,normal
502,472,463,499,normal
498,469,465,507,normal
496,467,511,503,normal
495,497,514,486,normal
493,503,512,475,normal
492,506,513,467,normal
491,506,510,460,normal
490,508,507,456,normal
490,511,496,453,normal
508,511,486,453,normal
513,502,480,455,normal
514,493,477,455,normal
514,486,472,473,normal
511,479,470,487,normal
506,474,467,494,normal
501,471,466,502,normal
498,467,464,504,normal
496,465,509,501,normal
494,500,511,485,normal
493,506,510,474,normal
492,508,508,466,normal
491,508,504,460,normal
490,510,500,456,normal
490,511,487,454,normal
507,511,480,453,normal
512,502,475,453,normal
512,493,472,458,normal
512,486,469,478,normal
508,480,465,486,normal
503,475,464,495,normal
497,471,462,501,normal
496,468,476,501,normal
494,467,512,489,normal
492,501,512,479,normal
491,507,512,470,normal
490,508,510,463,normal
489,508,507,457,normal
489,511,504,454,normal
490,513,491,452,normal
508,512,483,454,normal
512,502,478,456,normal
512,494,474,472,normal
510,487,471,487,normal
505,481,468,497,normal
500,475,466,508,normal
496,472,464,510,normal
495,469,506,510,normal
493,494,513,494,normal
492,504,513,482,normal
491,508,510,472,normal
490,510,508,465,normal
489,512,504,460,normal
489,514,491,456,normal
500,515,483,453,normal
512,505,478,453,normal
514,496,475,453,normal
513,488,471,471,normal
513,482,468,485,normal
513,476,465,495,normal
506,472,463,501,normal
500,469,497,506,normal
498,481,512,497,normal
495,503,513,483,normal
494,506,512,472,normal
492,508,510,464,normal
491,509,507,459,normal
491,510,504,455,normal
491,512,491,453,normal
509,512,483,452,normal
513,501,478,456,normal
513,492,475,473,normal
510,486,471,489,normal
504,480,468,496,normal
499,475,465,498,normal
496,471,464,502,normal
494,468,476,501,normal
492,474,511,489,normal
492,503,512,478,normal
491,505,511,469,normal
490,507,510,462,normal
489,508,508,457,normal
489,509,499,454,normal
488,511,488,451,normal
503,510,481,450,normal
513,502,476,450,normal
514,493,473,449,normal
514,486,470,448,normal
513,479,466,448,normal
512,475,466,471,normal
505,470,463,495,normal
500,467,463,504,normal
497,465,509,498,normal
495,500,511,481,normal
493,505,511,470,normal
492,507,509,462,normal
491,508,508,457,normal
489,509,502,454,normal
490,514,490,451,normal
508,513,482,450,normal
512,499,477,451,normal
512,490,473,473,normal
511,483,471,486,normal
507,478,467,496,normal
500,473,465,506,normal
497,469,463,510,normal
495,465,509,510,normal
493,498,513,492,normal
491,505,512,479,normal
491,508,510,470,normal
490,509,506,463,normal
489,511,501,458,normal
488,512,488,455,normal
506,515,481,452,normal
512,503,476,460,normal
512,494,473,472,normal
511,486,469,485,normal
505,480,467,495,normal
500,475,464,502,normal
496,471,463,507,normal
494,467,500,506,normal
493,487,512,489,normal
491,501,511,477,normal
490,506,508,469,normal
489,507,505,462,normal
489,509,493,457,normal
488,511,484,455,normal
505,511,478,452,normal
512,501,474,453,normal
512,492,471,464,normal
511,485,467,484,normal
508,480,465,495,normal
501,474,462,501,normal
497,470,462,509,normal
494,467,480,508,normal
493,469,512,496,normal
492,501,511,485,normal
490,506,510,474,normal
489,508,507,466,normal
489,509,503,460,normal
488,511,495,457,normal
489,513,484,453,normal
508,510,478,452,normal
511,501,475,452,normal
510,492,471,470,normal
505,485,468,480,normal
499,480,465,491,normal
495,474,464,498,normal
493,470,462,504,normal
492,467,461,505,normal
491,464,505,499,normal
489,505,509,485,normal
488,508,507,474,normal
488,510,506,466,normal
488,512,502,461,normal
487,512,494,455,normal
487,514,484,453,normal
498,513,478,451,normal
512,506,474,451,normal
512,496,470,457,normal
513,489,467,478,normal
510,482,464,489,normal
502,477,464,493,normal
497,472,460,499,normal
494,468,460,501,normal
492,466,502,502,normal
491,492,512,487,normal
490,505,511,475,normal
489,508,508,467,normal
488,508,505,462,normal
488,510,501,456,normal
487,511,489,453,normal
498,512,482,451,normal
512,505,477,449,normal
512,495,474,462,normal
512,487,470,484,normal
508,481,467,492,normal
501,476,464,497,normal
497,471,462,503,normal
494,468,489,505,normal
493,477,513,494,normal
491,503,513,481,normal
490,507,511,471,normal
489,507,507,464,normal
488,509,499,458,normal
487,511,488,454,normal
493,512,481,451,normal
509,504,476,450,normal
512,495,474,458,normal
512,487,469,475,normal
509,480,467,489,normal
502,475,464,497,normal
497,471,462,505,normal
495,467,472,507,normal
493,474,509,496,normal
491,503,511,484,normal
490,506,508,473,normal
489,506,505,465,normal
488,508,499,459,normal
488,510,486,455,normal
500,511,480,452,normal
508,502,475,455,normal
511,493,472,481,normal
509,485,468,488,normal
503,479,466,490,normal
497,473,464,495,normal
493,469,461,502,normal
492,466,472,503,normal
491,465,507,491,normal
490,501,510,481,normal
488,506,507,471,normal
488,507,506,464,normal
487,507,501,458,normal
487,510,490,454,normal
494,511,482,452,normal
506,505,477,453,normal
509,497,473,467,normal
507,489,469,486,normal
500,482,465,494,normal
495,477,465,500,normal
492,472,461,505,normal
491,468,490,506,normal
489,473,512,495,normal
488,500,512,483,normal
487,506,509,472,normal
487,507,506,465,normal
487,509,501,458,normal
486,512,489,455,normal
498,514,482,452,normal
511,505,477,450,normal
512,495,473,462,normal
508,487,470,480,normal
501,480,467,486,normal
496,474,464,493,normal
493,470,461,501,normal
491,467,477,503,normal
490,465,509,492,normal
488,496,510,480,normal
488,504,509,470,normal
487,505,507,463,normal
486,507,504,457,normal
486,509,498,453,normal
500,512,486,451,normal
509,504,480,452,normal
511,495,475,466,normal
508,486,472,479,normal
501,480,468,485,normal
496,474,465,494,normal
493,470,464,503,normal
491,466,464,502,normal
490,465,511,492,normal
488,492,511,480,normal
488,496,510,469,normal
487,501,508,462,normal
486,504,506,456,normal
486,509,500,453,normal
500,511,488,450,normal
511,503,482,453,normal
512,493,477,459,normal
510,485,473,470,normal
507,478,470,480,normal
500,473,466,490,normal
496,468,465,498,normal
494,465,483,498,normal
492,465,512,486,normal
490,493,512,475,normal
489,501,508,466,normal
489,505,507,459,normal
487,507,504,454,normal
487,510,493,451,normal
502,511,484,449,normal
510,502,477,467,normal
509,491,474,487,normal
504,484,470,490,normal
497,478,467,492,normal
493,472,463,497,normal
491,467,463,503,normal
490,465,497,501,normal
489,468,510,488,normal
488,492,510,477,normal
487,498,509,468,normal
487,502,507,461,normal
486,507,506,456,normal
485,510,497,452,normal
501,511,487,451,normal
510,502,480,454,normal
510,493,476,465,normal
510,484,471,476,normal
509,477,468,484,normal
505,472,466,498,normal
498,468,464,506,normal
495,465,505,507,normal
493,474,513,493,normal
491,495,512,479,normal
490,502,509,469,normal
489,505,507,461,normal
488,508,502,456,normal
487,510,490,453,normal
506,511,483,451,normal
511,499,477,451,normal
511,489,473,451,normal
509,481,470,466,normal
506,475,467,485,normal
500,470,464,496,normal
495,467,463,499,normal
494,465,507,499,normal
491,491,510,482,normal
490,501,509,471,normal
488,504,507,462,normal
488,507,505,456,normal
487,508,499,452,normal
488,511,487,450,normal
508,508,480,450,normal
511,497,475,452,normal
510,488,472,461,normal
509,481,468,482,normal
504,475,465,494,normal
496,470,463,502,normal
494,467,479,504,normal
493,465,513,489,normal
491,492,512,477,normal
489,501,509,467,normal
488,505,507,460,normal
487,507,502,454,normal
486,510,489,451,normal
504,510,482,449,normal
510,499,477,450,normal
510,489,473,456,normal
509,481,469,473,normal
505,476,467,490,normal
498,470,463,497,normal
495,466,463,503,normal
493,465,509,500,normal
491,493,510,483,normal
489,502,509,472,normal
488,505,506,464,normal
488,507,503,457,normal
487,508,490,452,normal
487,511,483,450,normal
509,504,476,450,normal
511,496,473,451,normal
509,487,469,465,normal
507,481,466,483,normal
501,475,464,493,normal
495,469,461,500,normal
493,466,462,505,normal
492,463,503,501,normal
489,480,508,484,normal
489,497,508,473,normal
488,504,507,465,normal
487,506,504,458,normal
485,508,501,453,normal
486,511,489,450,normal
506,511,481,448,normal
511,498,476,448,normal
509,489,472,446,normal
508,481,469,462,normal
502,475,465,478,normal
497,470,463,496,normal
494,466,461,503,normal
491,466,506,500,normal
489,483,510,485,normal
489,500,507,472,normal
487,504,505,463,normal
487,507,500,456,normal
486,508,496,452,normal
486,511,485,449,normal
507,507,479,448,normal
509,497,474,453,normal
509,488,470,486,normal
503,481,467,493,normal
496,476,464,500,normal
492,470,462,505,normal
491,466,461,504,normal
489,464,512,491,normal
488,487,512,482,normal
487,498,512,471,normal
486,501,509,464,normal
486,505,507,457,normal
485,507,498,454,normal
498,509,487,450,normal
511,501,480,452,normal
510,491,476,446,normal
507,483,473,445,normal
499,477,469,445,normal
496,472,468,479,normal
492,466,464,496,normal
490,463,465,496,normal
489,462,508,480,normal
488,492,509,471,normal
487,502,508,461,normal
486,506,506,456,normal
486,508,502,450,normal
485,510,490,448,normal
485,512,481,446,normal
511,503,476,447,normal
512,494,472,446,normal
510,485,468,445,normal
506,478,466,467,normal
501,473,463,484,normal
495,468,462,497,normal
493,464,461,501,normal
491,462,504,497,normal
489,495,510,482,normal
488,502,508,470,normal
487,505,508,462,normal
486,508,505,456,normal
485,510,501,451,normal
485,512,489,449,normal
502,512,480,447,normal
508,501,476,447,normal
509,492,472,446,normal
508,484,469,472,normal
503,478,465,489,normal
497,472,463,499,normal
492,468,461,505,normal
491,464,489,505,normal
489,484,505,491,normal
488,504,507,478,normal
487,508,505,468,normal
486,509,503,461,normal
485,509,495,455,normal
485,511,483,451,normal
499,512,477,449,normal
507,502,473,449,normal
509,492,469,480,normal
505,484,466,488,normal
497,477,463,490,normal
493,472,461,497,normal
490,468,459,501,normal
489,465,498,502,normal
487,472,510,488,normal
486,496,510,475,normal
486,502,508,467,normal
486,504,506,461,normal
484,505,503,454,normal
484,507,493,451,normal
502,508,484,449,normal
507,499,478,448,normal
509,489,474,455,normal
507,482,471,471,normal
502,476,467,484,normal
495,469,464,492,normal
492,466,464,500,normal
490,463,503,499,normal
488,491,509,484,normal
487,501,508,471,normal
486,504,508,463,normal
486,505,505,456,normal
485,506,499,452,normal
485,510,488,449,normal
506,512,480,453,normal
509,495,475,454,normal
508,486,471,464,normal
505,480,468,475,normal
500,474,464,488,normal
494,468,462,497,normal
491,465,463,504,normal
490,463,509,493,normal
488,495,512,480,normal
487,499,512,469,normal
486,502,510,461,normal
486,504,508,454,normal
484,507,500,451,normal
499,509,489,448,normal
507,500,481,448,normal
508,491,477,448,normal
508,483,472,467,normal
503,476,470,484,normal
496,471,467,493,normal
493,466,465,500,normal
491,464,500,498,normal
489,483,509,482,normal
487,492,508,470,normal
487,499,505,462,normal
486,504,502,456,normal
485,506,499,451,normal
485,510,487,449,normal
505,510,478,446,normal
511,497,474,452,normal
510,488,470,476,normal
507,480,467,488,normal
500,474,464,493,normal
495,469,462,501,normal
492,465,463,504,normal
490,463,511,499,normal
488,492,511,484,normal
488,502,508,472,normal
487,504,504,465,normal
486,505,501,458,normal
485,508,491,454,normal
487,509,482,451,normal
508,504,476,450,normal
509,495,472,459,normal
508,486,469,469,normal
505,479,466,481,normal
499,473,463,490,normal
494,468,461,496,normal
492,464,461,499,normal
490,461,505,498,normal
489,487,509,482,normal
488,492,508,471,normal
486,496,506,462,normal
486,502,505,457,normal
485,505,503,451,normal
484,509,492,449,normal
506,509,484,447,normal
510,498,478,454,normal
510,488,473,464,normal
508,480,470,475,normal
505,474,466,485,normal
498,469,463,489,normal
495,465,463,497,normal
492,463,502,496,normal
490,483,510,480,normal
489,496,509,469,normal
487,501,507,461,normal
486,505,505,455,normal
486,506,502,450,normal
485,511,491,448,normal
500,511,483,447,normal
502,499,477,449,normal
501,489,472,466,normal
497,481,470,480,normal
491,475,466,484,normal
488,470,463,493,normal
487,466,462,499,normal
486,463,496,497,normal
485,481,508,485,normal
485,497,507,474,normal
484,504,507,465,normal
483,504,505,458,normal
484,507,502,453,normal
482,509,491,449,normal
498,510,482,447,normal
509,502,477,449,normal
509,494,473,451,normal
508,485,469,469,normal
503,479,466,482,normal
497,473,464,491,normal
492,468,461,497,normal
491,464,460,499,normal
488,461,504,496,normal
488,492,509,480,normal
487,502,508,469,normal
485,503,505,461,normal
485,506,503,456,normal
484,507,493,450,normal
484,509,482,448,normal
505,509,477,446,normal
509,498,473,447,normal
509,489,469,463,normal
503,482,466,475,normal
497,477,463,484,normal
492,470,461,492,normal
490,465,459,500,normal
488,463,480,499,normal
487,462,509,489,normal
486,493,509,478,normal
485,501,508,467,normal
485,504,506,461,normal
485,505,504,453,normal
483,507,498,451,normal
486,509,486,447,normal
510,505,480,446,normal
510,495,474,454,normal
510,487,472,476,normal
502,479,468,487,normal
495,473,467,493,normal
492,469,462,501,normal
490,465,461,501,normal
488,462,506,499,normal
487,493,509,483,normal
486,499,508,471,normal
485,503,508,463,normal
485,503,505,456,normal
484,506,502,452,normal
485,509,490,449,normal
506,506,482,447,normal
509,495,476,458,normal
509,487,472,475,normal
505,479,469,484,normal
498,473,466,490,normal
493,467,462,497,normal
491,464,463,499,normal
489,463,509,496,normal
488,481,512,481,normal
486,493,509,470,normal
486,500,507,462,normal
485,504,504,456,normal
484,506,498,452,normal
485,509,487,449,normal
508,505,480,446,normal
509,495,475,458,normal
508,486,472,474,normal
501,478,469,481,normal
494,472,466,487,normal
491,467,462,494,normal
489,463,463,497,normal
488,462,506,493,normal
487,490,507,479,normal
486,500,509,468,normal
485,503,506,460,normal
484,504,504,454,normal
484,506,498,450,normal
487,510,486,448,normal
506,504,479,448,normal
508,495,474,450,normal
508,485,470,469,normal
503,479,467,479,normal
496,473,464,486,normal
491,468,462,494,normal
490,464,461,498,normal
488,461,507,493,normal
487,485,511,478,normal
486,496,508,468,normal
485,501,507,460,normal
485,504,504,453,normal
484,507,498,450,normal
492,508,487,447,normal
508,503,479,447,normal
509,493,475,448,normal
509,484,471,454,normal
508,477,468,470,normal
504,471,466,487,normal
496,467,463,500,normal
494,463,489,499,normal
491,475,508,489,normal
489,497,510,476,normal
487,500,508,465,normal
487,502,505,458,normal
485,505,501,452,normal
485,509,491,450,normal
500,507,482,448,normal
509,499,476,448,normal
508,489,473,447,normal
507,482,469,458,normal
502,475,466,471,normal
497,469,463,483,normal
492,464,462,496,normal
491,462,496,497,normal
489,487,508,485,normal
487,497,508,474,normal
486,500,507,464,normal
485,502,506,457,normal
485,505,504,451,normal
484,508,497,449,normal
498,509,487,447,normal
509,501,479,450,normal
509,490,474,444,normal
507,482,471,443,normal
503,476,467,464,normal
498,470,465,489,normal
493,466,462,497,normal
490,463,499,500,normal
489,485,510,485,normal
487,494,509,472,normal
487,498,507,462,normal
486,503,506,456,normal
485,505,502,451,normal
484,508,490,448,normal
507,508,481,447,normal
509,495,476,449,normal
508,486,472,449,normal
506,479,469,470,normal
504,472,465,484,normal
498,467,463,494,normal
493,463,464,497,normal
491,462,506,495,normal
489,498,507,478,normal
487,501,505,467,normal
486,504,503,460,normal
485,506,502,453,normal
484,507,493,449,normal
494,510,483,447,normal
507,503,477,446,normal
508,493,472,447,normal
507,484,468,457,normal
507,477,465,472,normal
505,472,462,490,normal
